,cocktail_id,sweet,sour,bitter,alc,sparking
1,1,3,4,2,30,0
2,2,3,0,2,11,0
3,3,4,4,4,32,0
4,4,3,0,1,5,4
5,5,2,3,3,24,0
6,6,4,3,1,30,0
7,7,5,2,0,9,0
8,8,3,2,1,28,0
9,9,5,0,0,13,0
10,10,4,3,2,21,0
11,11,1,1,4,30,0
12,12,1,4,4,35,0
13,13,4,0,3,23,0
14,14,2,0,4,37,0
15,15,3,3,2,27,0
16,16,4,2,0,15,0
17,17,5,2,0,0,0
18,18,4,2,0,9,0
19,19,5,0,0,16,0
20,20,2,3,2,20,0
21,21,4,5,0,10,0
22,22,3,5,3,32,0
23,23,1,3,5,37,0
24,24,5,0,2,5,0
25,25,2,0,4,28,0
26,26,3,3,3,27,0
27,27,2,3,4,34,0
28,28,3,2,0,15,3
29,29,0,0,3,4,3
30,30,2,5,3,22,1
31,31,5,2,1,14,0
32,32,4,4,2,15,5
33,33,5,2,0,10,2
34,34,3,1,2,35,0
35,35,1,1,4,40,0
36,36,4,3,0,16,2
37,37,3,1,3,3,2
38,38,3,5,2,21,0
39,39,5,2,0,6,0
40,40,3,0,2,29,4
41,41,2,3,2,17,0
42,42,3,3,2,30,0
43,43,0,0,5,37,0
44,44,4,3,0,20,0
45,45,2,1,3,33,0
46,46,2,0,4,19,0
47,47,3,3,3,14,3
48,48,3,2,1,25,0
49,49,3,1,0,19,4
50,50,2,5,0,0,4
51,51,5,4,0,14,3
52,52,2,4,2,4,0
53,53,1,0,5,40,0
54,54,2,0,3,45,0
55,55,4,2,0,12,0
56,56,3,3,0,15,2
57,57,5,1,2,33,0
58,58,4,2,1,13,0
59,59,3,4,0,0,0
60,60,1,0,2,4,4
61,61,5,0,0,5,0
62,62,4,0,0,30,0
63,63,3,2,2,31,0
64,64,2,1,4,32,0
65,65,4,2,2,24,0
66,66,3,4,3,37,0
67,67,4,2,2,15,0
68,68,4,0,3,33,0
69,69,1,0,4,10,2
70,70,2,2,2,13,0
71,71,4,2,0,10,4
72,72,4,2,0,20,0
73,73,4,3,0,5,4
74,74,2,4,2,15,0
75,75,4,3,3,40,0
76,76,4,5,2,22,0
77,77,2,0,5,19,0
78,78,1,0,3,4,2
79,79,3,5,0,0,0
80,80,3,2,1,22,5
81,81,5,3,0,14,0
82,82,4,1,0,0,5
83,83,0,0,4,10,3
84,84,2,4,1,15,0
85,85,4,3,0,5,3
86,86,4,3,0,14,0
87,87,4,3,1,13,0
88,88,2,1,2,28,0
89,89,2,4,1,10,4
90,90,4,4,0,8,0
91,91,3,5,0,0,0
92,92,1,4,5,40,0
93,93,1,0,4,10,0
94,94,3,0,0,25,0
95,95,3,3,1,11,0
96,96,3,2,4,9,4
97,97,3,1,3,42,0
98,98,3,0,2,20,0
99,99,2,1,4,42,0
100,100,4,4,1,35,0
101,101,0,1,4,24,0
102,102,5,0,0,14,0
103,103,3,0,4,22,0
104,104,4,2,1,15,0
105,105,3,1,2,27,0
106,106,3,3,2,20,1
107,107,4,2,1,10,4
108,108,4,3,0,18,0
109,109,5,0,0,22,0
110,110,5,1,0,6,0
111,111,2,1,5,24,0
112,112,1,1,3,26,0
113,113,4,2,1,21,0
114,114,5,5,2,13,0
115,115,0,0,5,13,0
116,116,2,0,2,18,3
117,117,5,3,2,31,0
118,118,5,1,0,7,0
119,119,3,4,1,14,3
120,120,1,2,4,23,0
121,121,3,0,0,13,5
122,122,3,5,1,13,4
123,123,2,4,0,19,0
124,124,4,2,0,8,0
125,125,0,4,3,40,0
126,126,2,2,5,48,0
127,127,4,3,1,26,0
128,128,1,3,5,17,0
129,129,2,2,2,19,0
130,130,4,2,0,12,5
131,131,5,0,0,19,0
132,132,4,0,2,5,5
133,133,5,0,4,48,0
134,134,5,1,0,15,5
135,135,1,4,1,18,3
136,136,3,3,0,5,0
137,137,1,2,4,28,0
138,138,3,3,2,17,0
139,139,5,1,0,10,0
140,140,3,0,2,27,0
141,141,4,0,0,5,0
142,142,4,3,0,18,0
143,143,3,3,1,14,0
144,144,4,2,1,15,0
145,145,2,4,2,17,0
146,146,5,3,0,4,0
147,147,3,1,0,26,0
148,148,3,4,2,15,0
149,149,3,3,2,17,3
150,150,0,0,5,20,0
151,151,4,2,3,26,0
152,152,3,3,0,26,0
153,153,2,4,3,18,0
154,154,2,4,1,12,0
155,155,3,4,2,30,0
156,156,3,3,4,28,0
157,157,4,3,3,26,0
158,158,1,0,5,32,0
159,159,0,2,3,16,0
160,160,5,4,0,0,0
161,161,4,4,0,0,3
162,162,5,4,0,0,2
163,163,4,2,1,15,0
164,164,4,4,0,3,0
165,165,5,2,0,5,0
166,166,3,3,1,25,0
167,167,4,4,2,14,0
168,168,5,1,0,0,0
169,169,4,3,0,7,0
170,170,3,3,2,25,0
171,171,5,2,1,25,0
172,172,5,3,1,10,0
173,173,4,3,1,5,0
174,174,5,3,2,28,5
175,175,4,3,2,28,5
176,176,4,0,1,20,0
177,177,5,0,1,38,0
178,178,4,4,0,30,0
179,179,5,3,0,18,5
180,180,3,0,3,35,0
181,181,2,5,1,14,5
182,182,3,3,0,10,0
183,183,5,4,0,0,0
184,184,4,4,0,10,0
185,185,3,0,4,13,5
186,186,4,1,0,8,5
187,187,3,5,1,35,0
188,188,4,0,1,17,4
189,189,2,4,0,5,5
190,190,2,4,2,15,0
191,191,0,1,5,31,0
192,192,4,3,2,33,0
193,193,4,5,4,32,0
194,194,1,0,3,12,0
195,195,4,5,2,19,0
196,196,2,5,4,6,0
197,197,4,4,2,11,3
198,198,3,5,1,12,4
199,199,4,4,2,26,0
200,200,2,4,3,14,4
201,201,3,4,1,13,5
202,202,4,5,0,0,3
203,203,4,5,0,0,0
204,204,4,4,0,0,5
205,205,5,2,2,21,0
206,206,3,1,2,20,3
207,207,3,4,2,17,2
208,208,3,3,1,5,2
209,209,4,3,1,7,0
210,210,3,1,4,14,4
211,211,3,5,2,18,0
212,212,2,5,3,30,0
213,213,5,4,2,15,0
214,214,1,5,3,20,4
215,215,4,5,2,20,0
216,216,3,0,2,5,5
217,217,3,3,1,13,0
218,218,4,3,1,8,0
219,219,4,4,0,0,0
