,cocktail_id,name
1,1,xyz
2,2,라모스 피즈
3,3,라스트 워드
4,4,막사
5,5,사이드카
6,6,카미카제
7,7,카시스 프라페
8,8,클로버 클럽
9,9,톰과 제리
10,10,파라다이스
11,11,프렌치 커넥션
12,12,행키팽키
13,13,화이트 러시안
14,14,갓파더
15,15,골드 러쉬
16,16,골든 드림
17,17,골든 메달리스트
18,18,골든 캐딜락
19,19,그래스호퍼
20,20,그로그
21,21,그린 위도우
22,22,김렛
23,23,깁슨
24,24,깔루아 밀크
25,25,네그로니
26,26,뉴욕
27,27,다이키리
28,28,다크 앤 스토미
29,29,더 티호
30,30,데이지
31,31,데킬라 선라이즈
32,32,도쿄 아이스티
33,33,도화
34,34,드림
35,35,러스티 네일
36,36,러시안 스프링 펀치
37,37,레드아이
38,38,레몬 드롭 마티니
39,39,레인보우 파라다이스
40,40,롱 아일랜드 아이스 티
41,41,마가리타
42,42,마이타이
43,43,마티니
44,44,말리부 오렌지
45,45,맨해튼
46,46,메리 픽포드
47,47,모스코 뮬
48,48,모킹버드
49,49,모히또
50,50,무알콜 모히또
51,51,미도리 사워
52,52,미첼라다
53,53,미키 슬림
54,54,민트 줄렙
55,55,바베이도스 서프라이즈
56,56,바이올렛 피즈
57,57,바카디 칵테일
58,58,발렌시아
59,59,버진 피나콜라다
60,60,버터 맥주
61,61,베일리스 밀크
62,62,벨벳 해머
63,63,불바디에
64,64,뷰 카레
65,65,브랜디 크러스타
66,66,브램블
67,67,브레인 해머릿지
68,68,블랙 러시안
69,69,블랙 벨벳
70,70,블러디 메리
71,71,블루 라군
72,72,블루 하와이
73,73,블루사파이어
74,74,비스 니즈
75,75,비트윈 더 시트
76,76,사우스 사이드
77,77,사제락
78,78,샌디 개프
79,79,선샤인
80,80,세븐&세븐
81,81,섹스 온 더 비치
82,82,셜리템플
83,83,소맥
84,84,솔티 독
85,85,스네이크바이트
86,86,스칼렛 오하라
87,87,스크루드라이버
88,88,스팅어
89,89,슬로 진 피즈
90,90,시 브리즈
91,91,신데렐라
92,92,실버 불렛
93,93,아메리카노
94,94,아이리시 플래그
95,95,아이스 브레이커
96,96,아페롤 스프리츠
97,97,알래스카
98,98,알렉산더
99,99,애비에이션
100,100,애플마니티
101,101,어스퀘이크
102,102,에그노그
103,103,에스프레소 마티니
104,104,에일리언 브레인 해머릿지
105,105,엔젤 페이스
106,106,엘 디아블로
107,107,예거밤
108,108,오렌지 블라썸
109,109,오르가즘
110,110,옥보단
111,111,올드 팔
112,112,올드 패션드
113,113,와일드 플라워
114,114,위스키 사워
115,115,위스키 플로트
116,116,잭콕
117,117,좀비
118,118,준벅
119,119,진 리키
120,120,진 앳 잇
121,121,진 토닉
122,122,진 피즈
123,123,치마요
124,124,치치
125,125,카이피리냐
126,126,카타르시스
127,127,코스모폴리탄
128,128,콥스 리바이버
129,129,콥스 리바이버 No.2
130,130,쿠바 리브레
131,131,퀵퍽
132,132,트로이 목마
133,133,파우스트
134,134,파인애플 피즈
135,135,팔로마
136,136,퍼지 네이블
137,137,페니실린
138,138,페이퍼 플레인
139,139,페인킬러
140,140,폴라 베어
141,141,프란젤리코 밀크
142,142,프렌치 마티니
143,143,플랜터스 펀치
144,144,피나 콜라다
145,145,피스코 사워
146,146,피치 크러쉬
147,147,핑크 레이디
148,148,하비 월 뱅어
149,149,하이랜드 쿨러
150,150,행맨스 블러드
151,151,허니문
152,152,허리케인
153,153,헤밍웨이 다이키리
154,154,혼돈주
155,155,화이트 레이디
156,156,A1
157,157,B-52
158,158,NO NAME
159,159,VE.N.TO
160,160,키위 상큼(키위 통통)
161,161,노벰버 시브리즈
162,162,레인보우 샤베트
163,163,말리부 피나콜라다
164,164,섹시마일드
165,165,동해
166,166,체리 블라썸
167,167,아마레또 사워
168,168,워터멜론 쿨러
169,169,말리부파인
170,170,키스 오브 파이어
171,171,프로즌 다이키리
172,172,크랜베리 보트카
173,173,차이나 블루
174,174,버니니리타
175,175,코로나리타
176,176,엔젤스 키스
177,177,퀵샷
178,178,스트로베리 마가리타
179,179,럼콕
180,180,갓 마더
181,181,린치버그 레모네이드
182,182,프렌치 키스
183,183,트로피칼 러너
184,184,엔젤스티어
185,185,캄파리소다
186,186,테네시 왈츠
187,187,옐로우 버드
188,188,아이리쉬 카밤
189,189,세컨드 서브
190,190,투 순(Too Soon)
191,191,백 년 묵은 시가
192,192,토미스 마가리타
193,193,파리지앵
194,194,로제샤워
195,195,브롱스
196,196,블루문
197,197,싱가폴 슬링
198,198,탐 콜린스
199,199,스카이 다이빙
200,200,호올스 넥
201,201,로즈 케네디
202,202,크렌베리샤워
203,203,플로리다
204,204,망고펀치
205,205,잭 로즈
206,206,A.M.F
207,207,엑스레이티드 밤
208,208,지중해
209,209,올라프
210,210,닥터페퍼
211,211,바질 스매쉬
212,212,푸어 베인
213,213,idH
214,214,레몬 보이
215,215,위스키 사워
216,216,버번콕
217,217,스크류 드라이버
218,218,시브리즈
219,219,논알콜 선라이즈
